OrderID,OrderDate,Product,Category,CustomerID,Region,Country,Quantity,UnitPrice,Revenue,Discount,Profit
O00001,2023-02-25,Tablet,Electronics,C0090,West,UK,1,214,214,20,36.37
O00002,2023-10-15,Mixer,Home & Kitchen,C0164,South,UK,3,379,1137,5,143.4
O00003,2023-01-04,Lipstick,Beauty,C0612,West,India,3,394,1182,15,120.97
O00004,2023-01-11,Smartphone,Electronics,C0684,South,USA,3,486,1458,15,266.05
O00005,2023-09-25,Vacuum Cleaner,Home & Kitchen,C0038,East,UK,4,125,500,20,91.1
O00006,2023-08-11,Yoga Mat,Sports,C0013,West,Canada,5,346,1730,20,384.78
O00007,2023-09-19,Hair Dryer,Beauty,C0685,West,UK,1,453,453,5,105.51
O00008,2023-06-21,Headphones,Electronics,C0674,East,USA,3,303,909,15,213.86
O00009,2023-04-07,Face Cream,Beauty,C0587,East,India,5,65,325,10,30.0
O00010,2023-09-11,Toaster,Home & Kitchen,C0416,North,UK,2,298,596,15,150.02
O00011,2023-01-23,Handbag,Fashion,C0456,West,Germany,1,88,88,15,10.37
O00012,2023-11-21,Cookware Set,Home & Kitchen,C0702,East,Germany,4,20,80,0,17.88
O00013,2023-08-10,Yoga Mat,Sports,C0725,North,India,1,427,427,20,59.95
O00014,2023-08-30,Dumbbells,Sports,C0030,East,UK,1,404,404,20,53.96
O00015,2023-02-02,Mixer,Home & Kitchen,C0655,South,Germany,2,210,420,5,99.28
O00016,2023-12-02,Smartwatch,Electronics,C0397,East,USA,3,417,1251,15,184.7
O00017,2023-10-29,Yoga Mat,Sports,C0530,North,USA,4,241,964,0,239.33
O00018,2023-06-05,Lipstick,Beauty,C0358,West,Germany,4,425,1700,0,223.92
O00019,2023-09-14,Air Purifier,Home & Kitchen,C0528,South,UK,1,299,299,10,39.01
O00020,2023-05-05,Yoga Mat,Sports,C0096,East,Canada,2,473,946,10,130.19
O00021,2023-04-13,Smartwatch,Electronics,C0083,South,Canada,1,119,119,10,22.8
O00022,2023-10-11,Smartwatch,Electronics,C0325,North,UK,5,88,440,20,44.74
O00023,2023-05-12,Face Cream,Beauty,C0749,West,India,5,463,2315,15,330.79
O00024,2023-11-08,Handbag,Fashion,C0130,North,Canada,4,195,780,20,77.67
O00025,2023-06-11,Tablet,Electronics,C0472,East,Germany,3,130,390,15,55.89
O00026,2023-07-12,Jeans,Fashion,C0392,North,Germany,5,155,775,5,199.72
O00027,2023-05-16,Shampoo,Beauty,C0071,East,India,5,439,2195,20,288.77
O00028,2023-02-25,Lipstick,Beauty,C0601,West,UK,4,313,1252,10,167.37
O00029,2023-12-20,Shampoo,Beauty,C0450,East,USA,4,276,1104,20,248.26
O00030,2023-01-11,Cookware Set,Home & Kitchen,C0050,South,India,4,358,1432,15,300.35
O00031,2023-03-14,Hair Dryer,Beauty,C0044,West,Canada,3,465,1395,10,349.41
O00032,2023-11-04,Handbag,Fashion,C0033,West,Canada,3,381,1143,20,256.2
O00033,2023-12-19,Tablet,Electronics,C0748,West,USA,1,466,466,10,65.85
O00034,2023-01-07,Shampoo,Beauty,C0436,North,Canada,4,364,1456,5,193.16
O00035,2023-09-13,Air Purifier,Home & Kitchen,C0170,South,UK,4,134,536,10,99.16
O00036,2023-09-24,Headphones,Electronics,C0628,East,USA,1,345,345,15,53.16
O00037,2023-09-22,Lipstick,Beauty,C0062,West,Germany,3,98,294,15,31.72
O00038,2023-02-07,Jeans,Fashion,C0039,South,USA,4,494,1976,0,201.93
O00039,2023-08-12,Air Purifier,Home & Kitchen,C0031,North,USA,3,494,1482,5,226.44
O00040,2023-03-20,Cookware Set,Home & Kitchen,C0218,North,UK,4,135,540,15,66.28
O00041,2023-02-09,Face Cream,Beauty,C0574,South,Germany,4,464,1856,0,292.05
O00042,2023-06-30,Lipstick,Beauty,C0130,North,Germany,5,334,1670,0,315.64
O00043,2023-01-25,Cookware Set,Home & Kitchen,C0372,South,Germany,1,280,280,0,61.2
O00044,2023-04-03,Mixer,Home & Kitchen,C0800,South,Germany,4,84,336,15,36.59
O00045,2023-02-20,Laptop,Electronics,C0089,East,India,2,132,264,15,41.75
O00046,2023-02-28,Jacket,Fashion,C0062,North,USA,4,376,1504,0,190.81
O00047,2023-05-01,Tablet,Electronics,C0451,South,USA,4,194,776,5,86.9
O00048,2023-04-28,Tablet,Electronics,C0336,West,UK,1,49,49,20,4.43
O00049,2023-01-01,Sneakers,Fashion,C0241,South,Canada,5,478,2390,20,291.87
O00050,2023-08-02,Hair Dryer,Beauty,C0377,East,USA,1,328,328,10,50.18
O00051,2023-02-10,Tablet,Electronics,C0519,North,UK,4,388,1552,5,327.32
O00052,2023-11-22,Lipstick,Beauty,C0752,South,Germany,1,118,118,5,27.4
O00053,2023-01-14,Face Cream,Beauty,C0291,South,Germany,3,393,1179,0,298.14
O00054,2023-03-11,Jeans,Fashion,C0375,South,India,5,71,355,10,39.7
O00055,2023-03-08,Tablet,Electronics,C0059,East,UK,3,230,690,0,154.71
O00056,2023-05-27,Running Shoes,Sports,C0123,North,UK,3,245,735,5,70.57
O00057,2023-07-03,Smartwatch,Electronics,C0104,West,Germany,2,439,878,5,148.04
O00058,2023-03-08,Perfume,Beauty,C0246,North,Germany,1,109,109,20,13.37
O00059,2023-03-04,Jacket,Fashion,C0313,North,India,5,221,1105,10,212.51
O00060,2023-10-08,Tennis Racket,Sports,C0318,East,Canada,3,31,93,5,14.28
O00061,2023-08-05,Jacket,Fashion,C0218,West,India,1,463,463,5,58.95
O00062,2023-10-24,Smartwatch,Electronics,C0228,North,Germany,2,225,450,20,87.72
O00063,2023-02-15,Hair Dryer,Beauty,C0374,North,USA,4,41,164,20,37.41
O00064,2023-11-26,Laptop,Electronics,C0692,North,USA,5,70,350,0,93.62
O00065,2023-11-26,Hair Dryer,Beauty,C0394,East,USA,4,239,956,0,112.29
O00066,2023-06-04,Jeans,Fashion,C0673,South,Canada,3,281,843,15,172.8
O00067,2023-10-25,Vacuum Cleaner,Home & Kitchen,C0189,North,India,5,383,1915,5,371.03
O00068,2023-11-17,Running Shoes,Sports,C0104,West,USA,5,265,1325,0,230.99
O00069,2023-10-16,Shampoo,Beauty,C0664,East,Canada,5,353,1765,10,221.97
O00070,2023-07-10,Tablet,Electronics,C0054,North,Germany,4,359,1436,5,383.14
O00071,2023-09-17,Football,Sports,C0238,West,USA,1,410,410,15,99.89
O00072,2023-11-06,Handbag,Fashion,C0510,East,UK,4,422,1688,10,254.57
O00073,2023-12-20,Perfume,Beauty,C0241,North,India,5,384,1920,5,317.02
O00074,2023-04-02,Laptop,Electronics,C0151,South,Germany,5,470,2350,5,450.35
O00075,2023-03-21,Jacket,Fashion,C0513,North,Germany,3,199,597,20,108.75
O00076,2023-06-13,T-shirt,Fashion,C0438,West,Germany,1,346,346,15,80.28
O00077,2023-02-27,Tablet,Electronics,C0455,West,India,1,385,385,10,59.95
O00078,2023-12-22,Handbag,Fashion,C0712,West,Canada,3,360,1080,5,109.3
O00079,2023-11-24,Jacket,Fashion,C0208,West,Germany,1,198,198,5,28.94
O00080,2023-04-16,Air Purifier,Home & Kitchen,C0319,North,UK,1,80,80,20,8.05
O00081,2023-08-04,Football,Sports,C0615,West,Canada,4,380,1520,15,145.77
O00082,2023-12-24,Jeans,Fashion,C0358,South,UK,4,397,1588,15,166.56
O00083,2023-04-11,Tablet,Electronics,C0522,West,India,3,65,195,0,33.86
O00084,2023-08-12,T-shirt,Fashion,C0067,West,Germany,4,385,1540,0,281.7
O00085,2023-06-20,Tablet,Electronics,C0520,West,Germany,3,198,594,0,98.97
O00086,2023-09-14,T-shirt,Fashion,C0028,West,Germany,3,36,108,5,26.76
O00087,2023-08-30,Cookware Set,Home & Kitchen,C0156,East,Canada,3,135,405,20,81.27
O00088,2023-06-19,Smartwatch,Electronics,C0483,South,USA,2,378,756,15,135.99
O00089,2023-06-19,Toaster,Home & Kitchen,C0202,West,Germany,4,340,1360,15,222.7
O00090,2023-11-30,Vacuum Cleaner,Home & Kitchen,C0737,East,India,4,463,1852,15,467.0
O00091,2023-01-30,Yoga Mat,Sports,C0392,South,USA,2,376,752,15,164.91
O00092,2023-03-31,Hair Dryer,Beauty,C0280,South,UK,5,141,705,15,156.76
O00093,2023-08-27,Smartwatch,Electronics,C0395,North,UK,2,106,212,10,45.78
O00094,2023-03-24,Jeans,Fashion,C0312,West,USA,4,157,628,20,73.55
O00095,2023-04-09,Sneakers,Fashion,C0196,North,UK,5,249,1245,0,169.55
O00096,2023-01-21,Air Purifier,Home & Kitchen,C0682,South,UK,1,144,144,0,24.41
O00097,2023-02-18,Laptop,Electronics,C0473,West,USA,5,288,1440,0,318.54
O00098,2023-12-11,T-shirt,Fashion,C0425,South,USA,3,107,321,15,69.02
O00099,2023-11-12,Yoga Mat,Sports,C0756,West,India,4,179,716,15,113.43
O00100,2023-04-28,Tennis Racket,Sports,C0584,South,USA,3,400,1200,15,205.18
O00101,2023-09-13,Tennis Racket,Sports,C0163,South,USA,1,68,68,10,13.81
O00102,2023-10-10,Headphones,Electronics,C0737,West,USA,2,425,850,20,126.73
O00103,2023-05-01,Tablet,Electronics,C0258,East,UK,2,336,672,5,189.2
O00104,2023-02-06,Smartphone,Electronics,C0420,East,Germany,2,258,516,10,93.32
O00105,2023-11-23,Hair Dryer,Beauty,C0318,North,Germany,1,92,92,10,13.81
O00106,2023-09-03,Face Cream,Beauty,C0310,North,Germany,3,210,630,0,92.08
O00107,2023-01-05,Cookware Set,Home & Kitchen,C0274,North,India,3,211,633,15,101.95
O00108,2023-04-16,Jeans,Fashion,C0247,South,UK,4,406,1624,5,406.07
O00109,2023-07-13,Tennis Racket,Sports,C0755,West,UK,2,152,304,20,42.13
O00110,2023-12-28,Hair Dryer,Beauty,C0720,West,India,2,263,526,5,117.32
O00111,2024-01-01,Jeans,Fashion,C0614,East,Germany,5,184,920,0,212.08
O00112,2023-01-12,Vacuum Cleaner,Home & Kitchen,C0685,North,USA,3,88,264,10,32.42
O00113,2023-11-26,Jeans,Fashion,C0248,South,USA,3,421,1263,15,224.81
O00114,2023-12-22,Headphones,Electronics,C0577,West,UK,3,426,1278,5,139.64
O00115,2023-08-02,Shampoo,Beauty,C0095,East,USA,3,412,1236,15,219.25
O00116,2023-03-17,Hair Dryer,Beauty,C0042,North,USA,4,413,1652,15,204.75
O00117,2023-04-09,Dumbbells,Sports,C0042,East,USA,2,30,60,0,6.87
O00118,2023-11-23,Running Shoes,Sports,C0492,West,UK,2,186,372,15,82.58
O00119,2023-01-18,Handbag,Fashion,C0638,South,USA,5,471,2355,5,503.97
O00120,2023-10-03,Cookware Set,Home & Kitchen,C0482,East,USA,4,184,736,5,104.5
O00121,2023-02-24,Tablet,Electronics,C0650,South,UK,5,244,1220,0,295.83
O00122,2023-07-20,Tablet,Electronics,C0629,North,Canada,3,355,1065,0,142.98
O00123,2023-08-15,Sneakers,Fashion,C0658,West,USA,5,340,1700,10,215.02
O00124,2023-07-08,Cookware Set,Home & Kitchen,C0493,East,Germany,5,319,1595,10,188.97
O00125,2023-11-24,Hair Dryer,Beauty,C0067,South,USA,4,399,1596,0,372.38
O00126,2023-06-18,Face Cream,Beauty,C0660,South,USA,1,127,127,5,16.2
O00127,2023-03-12,Tennis Racket,Sports,C0269,South,Germany,5,283,1415,15,211.33
O00128,2023-05-07,T-shirt,Fashion,C0066,South,USA,1,461,461,15,65.93
O00129,2023-06-09,Jacket,Fashion,C0407,North,Canada,4,374,1496,5,380.79
O00130,2023-10-02,Perfume,Beauty,C0336,South,UK,5,318,1590,0,217.86
O00131,2023-01-10,Shampoo,Beauty,C0796,West,India,4,29,116,20,26.62
O00132,2023-03-09,Headphones,Electronics,C0065,South,India,3,351,1053,5,276.19
O00133,2023-01-12,Jeans,Fashion,C0770,South,Germany,1,55,55,20,6.31
O00134,2023-09-03,Air Purifier,Home & Kitchen,C0142,South,Germany,5,363,1815,20,214.28
O00135,2023-12-05,Lipstick,Beauty,C0473,North,UK,1,93,93,15,17.14
O00136,2023-05-06,Handbag,Fashion,C0144,South,USA,2,63,126,10,28.74
O00137,2023-12-15,Mixer,Home & Kitchen,C0248,South,India,3,210,630,10,166.77
O00138,2023-02-02,Laptop,Electronics,C0527,East,India,3,60,180,20,33.16
O00139,2023-08-27,Dumbbells,Sports,C0252,East,UK,5,127,635,20,95.19
O00140,2023-02-21,Smartphone,Electronics,C0787,North,India,4,220,880,5,171.11
O00141,2023-03-20,Football,Sports,C0563,South,UK,2,377,754,20,80.09
O00142,2023-01-10,Yoga Mat,Sports,C0266,North,Germany,1,160,160,20,14.78
O00143,2023-08-26,Face Cream,Beauty,C0347,North,USA,2,420,840,20,189.93
O00144,2023-11-20,Running Shoes,Sports,C0317,East,Germany,5,167,835,5,110.81
O00145,2023-08-30,Jacket,Fashion,C0323,North,India,2,248,496,15,61.94
O00146,2023-10-30,Shampoo,Beauty,C0331,East,Canada,5,395,1975,0,484.05
O00147,2023-09-03,Headphones,Electronics,C0700,South,USA,4,91,364,15,75.66
O00148,2023-02-20,Tablet,Electronics,C0144,South,India,5,449,2245,20,514.62
O00149,2023-02-10,Toaster,Home & Kitchen,C0324,West,UK,2,488,976,20,195.16
